journal_id,line_number,posting_date,account_code,debit_amount,credit_amount,currency,external_reference,narration
jrn_2042_0001,1,2026-04-02,110000,3850.79,0.00,INR,set_2042_0001,Synthetic bank receipt
jrn_2042_0001,2,2026-04-02,510000,76.45,0.00,INR,set_2042_0001,Synthetic gateway fee expense
jrn_2042_0001,3,2026-04-02,140000,13.76,0.00,INR,set_2042_0001,Synthetic input GST
jrn_2042_0001,4,2026-04-02,120000,0.00,3941.00,INR,set_2042_0001,Synthetic clearing credit
jrn_2042_0002,1,2026-04-03,110000,5128.89,0.00,INR,set_2042_0002,Synthetic bank receipt
jrn_2042_0002,2,2026-04-03,510000,127.22,0.00,INR,set_2042_0002,Synthetic gateway fee expense
jrn_2042_0002,3,2026-04-03,140000,22.89,0.00,INR,set_2042_0002,Synthetic input GST
jrn_2042_0002,4,2026-04-03,120000,0.00,5279.00,INR,set_2042_0002,Synthetic clearing credit
jrn_2042_0003,1,2026-04-04,110000,5666.80,0.00,INR,set_2042_0003,Synthetic bank receipt
jrn_2042_0003,2,2026-04-04,510000,125.60,0.00,INR,set_2042_0003,Synthetic gateway fee expense
jrn_2042_0003,3,2026-04-04,140000,22.60,0.00,INR,set_2042_0003,Synthetic input GST
jrn_2042_0003,4,2026-04-04,120000,0.00,5815.00,INR,set_2042_0003,Synthetic clearing credit
jrn_2042_0004,1,2026-04-05,110000,3902.97,0.00,INR,set_2042_0004,Synthetic bank receipt
jrn_2042_0004,2,2026-04-05,510000,104.27,0.00,INR,set_2042_0004,Synthetic gateway fee expense
jrn_2042_0004,3,2026-04-05,140000,18.76,0.00,INR,set_2042_0004,Synthetic input GST
jrn_2042_0004,4,2026-04-05,120000,0.00,4026.00,INR,set_2042_0004,Synthetic clearing credit
jrn_2042_0005,1,2026-04-06,110000,4924.29,0.00,INR,set_2042_0005,Synthetic bank receipt
jrn_2042_0005,2,2026-04-06,510000,94.67,0.00,INR,set_2042_0005,Synthetic gateway fee expense
jrn_2042_0005,3,2026-04-06,140000,17.04,0.00,INR,set_2042_0005,Synthetic input GST
